#Cloudy 17.00 models results grids
# O/H: 6.9 - 9.1, log N/O: -2.0 - 0.0, log U: -4.0 - -1.5
# SED: POPSTAR, Chabrier IMF, age = 1 Myr
# Plane-parallel geometry
#
12+log(O/H)     	 log(N/O)        	 log(U)          	 OII_3727        	 NeIII_3868      	 OIII_4363       	 HeI_4471        	 HeII_4686       	 OIII_5007       	 NII_5755        	 HeI_5876        	 SIII_6312       	 NII_6584        	 HeI_6678        	 SII_6717,31     	 ArIII_7135      	 OII_7325        	 SIII_9069      	source
7.3000 -2.0000 -1.5000 0.1014 0.1956 0.1041 0.0204 0.0000 3.0507 0.0000 0.0528 0.0090 0.0000 0.0146 0.0165 0.0160 0.0014 0.0417	HII
7.4000 -2.0000 -4.0000 1.0263 0.0189 0.0000 0.0234 0.0000 0.0297 0.0000 0.0598 0.0017 0.0163 0.0169 0.3051 0.0126 0.0219 0.0184	HII
7.4000 -2.0000 -3.7500 1.1756 0.0297 0.0011 0.0229 0.0000 0.0950 0.0000 0.0587 0.0027 0.0168 0.0166 0.2584 0.0144 0.0272 0.0267	HII
7.4000 -2.0000 -3.5000 1.2384 0.0447 0.0037 0.0225 0.0000 0.2676 0.0000 0.0576 0.0041 0.0158 0.0162 0.2093 0.0164 0.0309 0.0366	HII
7.4000 -2.0000 -3.2500 1.1351 0.0632 0.0095 0.0221 0.0000 0.6067 0.0000 0.0566 0.0058 0.0131 0.0159 0.1617 0.0184 0.0304 0.0471	HII
7.4000 -2.0000 -3.0000 0.8980 0.0841 0.0189 0.0217 0.0000 1.0750 0.0000 0.0557 0.0077 0.0096 0.0156 0.1201 0.0203 0.0254 0.0568	HII
7.4000 -2.0000 -2.7500 0.6437 0.1068 0.0312 0.0214 0.0000 1.5748 0.0000 0.0550 0.0096 0.0066 0.0154 0.0870 0.0219 0.0191 0.0647	HII
7.4000 -2.0000 -2.5000 0.4438 0.1308 0.0455 0.0212 0.0000 2.0509 0.0000 0.0544 0.0112 0.0044 0.0152 0.0624 0.0227 0.0137 0.0694	HII
7.4000 -2.0000 -2.2500 0.3072 0.1559 0.0617 0.0210 0.0000 2.4937 0.0000 0.0540 0.0123 0.0030 0.0150 0.0450 0.0224 0.0098 0.0699	HII
7.4000 -2.0000 -2.0000 0.2190 0.1814 0.0793 0.0209 0.0000 2.9055 0.0000 0.0537 0.0125 0.0021 0.0149 0.0333 0.0209 0.0062 0.0664	HII
7.4000 -2.0000 -1.7500 0.1623 0.2069 0.0983 0.0207 0.0000 3.2919 0.0000 0.0535 0.0119 0.0016 0.0148 0.0256 0.0185 0.0046 0.0597	HII
7.4000 -2.0000 -1.5000 0.1249 0.2321 0.1186 0.0205 0.0000 3.6567 0.0000 0.0532 0.0108 0.0012 0.0147 0.0203 0.0158 0.0017 0.0514	HII
7.5000 -2.0000 -4.0000 1.2577 0.0226 0.0000 0.0233 0.0000 0.0359 0.0000 0.0597 0.0020 0.0202 0.0169 0.3789 0.0196 0.0265 0.0228	HII
